date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2024-06-22,15.429166666666667,6.858333333333333,188.0,9.125,3.470833333333333,43.583333333333336,0.3145833333333333,16.833333333333332,1.7625,28.5,19.25
2024-06-23,7.541666666666667,5.0249999999999995,178.83333333333334,7.945833333333333,3.4458333333333333,45.583333333333336,0.13333333333333333,1.875,1.8187499999999999,27.583333333333332,18.791666666666668
2024-06-24,5.854166666666667,3.8125,170.375,8.1625,3.4166666666666665,47.125,0.09666666666666666,1.4166666666666667,1.3104166666666666,22.125,18.833333333333332
2024-06-25,4.104166666666667,2.7416666666666667,163.29166666666666,7.2250000000000005,2.9499999999999997,42.625,0.11625,0.5833333333333334,1.91875,20.125,17.166666666666668
2024-06-26,4.2250000000000005,2.841666666666667,168.5,7.8125,3.0,42.25,0.09291666666666666,0.4583333333333333,1.28125,19.416666666666668,16.958333333333332
2024-06-27,3.6208333333333336,2.5,167.70833333333334,8.533333333333333,3.025,37.166666666666664,0.07583333333333334,0.08333333333333333,0.6875,17.833333333333332,14.916666666666666
2024-06-28,10.179166666666667,5.108333333333333,175.75,8.004166666666666,3.1750000000000003,44.916666666666664,0.15875,7.875,2.19375,20.208333333333332,17.958333333333332
2024-06-29,11.166666666666666,6.1499999999999995,189.625,9.275,3.641666666666667,44.291666666666664,0.15833333333333335,6.041666666666667,2.00625,25.166666666666668,17.75
2024-06-30,12.137500000000001,6.454166666666667,199.29166666666666,10.966666666666667,4.020833333333333,39.375,0.19166666666666665,8.458333333333334,1.7562499999999999,25.375,16.458333333333332
2024-07-01,7.583333333333333,4.595833333333333,177.75,9.55,3.7416666666666667,37.791666666666664,0.18708333333333335,3.0416666666666665,1.6645833333333335,25.208333333333332,15.416666666666666
2024-07-02,10.308333333333334,4.970833333333333,176.95833333333334,8.995833333333334,3.2583333333333333,35.0,0.26916666666666667,8.166666666666666,1.6312499999999999,19.583333333333332,14.083333333333334
2024-07-03,9.745833333333334,5.433333333333334,181.45833333333334,9.216666666666667,3.3541666666666665,36.166666666666664,0.21666666666666667,5.166666666666667,2.0104166666666665,22.416666666666668,14.833333333333334
2024-07-04,14.491666666666667,7.529166666666666,210.41666666666666,12.4375,4.125,31.041666666666668,0.19416666666666668,10.75,0.8624999999999999,24.875,14.0
2024-07-05,13.7125,7.154166666666666,185.33333333333334,9.479166666666666,3.8249999999999997,36.0,0.235,9.791666666666666,1.7687499999999998,32.125,17.291666666666668
